quad_id_0based,face_id_1based,center_x,center_y,center_z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
3199,3200,-0.10073400459000001,2.992112695,1.0455803,0.35016129239862814,0.9194157739055535,61,62,66,67,0.07682480189323485,0.05135436342901642,0.5225300285122526,0.3492908061654961
3200,3201,0.104236218785,2.8077473625000002,1.0135194832499999,0.4111936891826165,0.8557875215574333,56,57,61,62,0.006740291782616328,0.012234406413316787,0.34848495148691766,0.6325403503171493
3201,3202,0.08710945591,3.02270901,1.00730820225,0.4060939855759132,0.929975188874431,66,67,71,72,0.3682420517216921,0.612105304036275,0.007382005974655127,0.012270638267377707
3202,3203,0.29442396375,2.8397077325,0.9832672035000001,0.4678244217984432,0.8668176998448793,61,62,66,67,0.11126986796121333,0.7532823342104756,0.01743244484501392,0.11801535298329716
3203,3204,0.27576057624999994,3.0519372799999998,0.97800901525,0.46226716937183404,0.9400624634940181,66,67,71,72,0.12665032314198488,0.7124751879417621,0.024280999370678943,0.13659348954557404
3204,3205,0.48460549875000003,2.870069505,0.9580154120000001,0.5244533053210617,0.8772961693931944,62,63,67,68,0.6476380526815689,0.07021557581370806,0.2545487260341842,0.027597645470538792
3205,3206,0.46453263624999996,3.0790261025,0.95515888925,0.5184763644341452,0.949411370961985,67,68,72,73,0.6558979455377216,0.05234286099448826,0.2701965967256974,0.021562596742092714
3206,3207,0.67440216275,2.8981184975000005,0.93610495325,0.5809675887852138,0.8869764511940073,62,63,67,68,0.3937303619496805,0.18859932133421797,0.28239928290946426,0.1352710338066373
3207,3208,0.6528820842499999,3.1032886525,0.9354349672500001,0.574559721592565,0.9577848739035366,67,68,72,73,0.41474907462063637,0.17626269072985057,0.28701203900910377,0.1219761956404093
3208,3209,0.8641978055,2.9235057825000004,0.920030132,0.6374815681596588,0.895738123220464,62,63,67,68,0.20688371369263442,0.25278256122086945,0.24319001366873022,0.2971437114177659
3209,3210,0.8412400335,3.124262215,0.9202188252499999,0.6306456101023907,0.9650232798950159,67,68,72,73,0.23377900496999005,0.2558950764997875,0.24363855462044703,0.26668736390977543
3210,3211,1.0541774474999999,2.9457889775,0.9111771882499999,0.6940503355664774,0.9034285102111004,62,63,67,68,0.07877731932782948,0.27322353771676433,0.14502133840626077,0.5029778045491454
3211,3212,1.02894307575,3.141685545,0.9104567020000001,0.6865364920243208,0.9710364279361998,67,68,72,73,0.10293527365380813,0.30255473523939486,0.15091875824890882,0.4435912328578882
3212,3213,1.24521774,2.964276195,0.9058150647500001,0.7509349246624142,0.9098088276186834,63,64,68,69,0.2616940827101743,0.0009823306282584101,0.7345662186401689,0.0027573680213983207
3213,3214,1.2168794274999999,3.155116915,0.9038370099999999,0.7424968447100673,0.9756718688195392,67,68,72,73,0.010222113785007718,0.3303717227414441,0.019790507374723192,0.639615656098825
3214,3215,1.4366776925,2.9782939575,0.89605453575,0.8079444726680529,0.9146466445640467,63,64,68,69,0.14976257718918742,0.045184398914159894,0.6184595321386009,0.18659349175805176
3215,3216,1.405601175,3.1642324924999996,0.8969430325,0.7986910586087116,0.978817841316667,68,69,73,74,0.23879284469174683,0.057757376874914945,0.5664429208734069,0.13700685755993142
3216,3217,1.6280130425000001,2.9882219425,0.87433658525,0.8649169187517879,0.9180729955288537,63,64,68,69,0.07941699828546712,0.06756106431058105,0.46091532670738133,0.3921066106965705
3217,3218,1.5937985475,3.1695218075000002,0.8845858575,0.8547291334226802,0.9806432922569557,68,69,73,74,0.15747007964329351,0.11352382875932611,0.4236133866659857,0.3053927049313947
3218,3219,1.8185586350000003,2.9954552025000005,0.83752635125,0.9216542048580908,0.9205693417038029,63,64,68,69,0.03510807207257055,0.07692114407418832,0.27827510849506626,0.6096956753581748
3219,3220,1.7798160925000002,3.1730372300000003,0.8563783764999999,0.9101181378755491,0.9818565365632856,68,69,73,74,0.09132302362841165,0.16268546448558982,0.26820442486939206,0.4777870870166065
3220,3221,2.00309527,3.0030128925,0.786076218,0.9766022502036653,0.9231776553166066,63,64,68,69,0.007067320796171221,0.06844550477133628,0.08652367838916754,0.837963496043325
3221,3222,1.95864016,3.1781716949999996,0.81280335775,0.9633651962164042,0.9836285455969935,68,69,73,74,0.03358684110354885,0.19561352053854217,0.11295237403083454,0.6578472643270744
3224,3225,1.864278345,2.8305500125,0.81554013475,0.9352678089983555,0.8636571831078543,63,64,68,69,0.2353143148202404,0.6734851216697985,0.023614449186337646,0.06758611432362344
