vertex_id_0based,vertex_id_1based,x,y,z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
3985,3986,1.25547957,1.99837017,1.10251021,0.7539905103468967,0.5764548750621752,43,44,48,49,0.9147929286747278,0.014838820454820488,0.0692450299376855,0.001123220932766236
3986,3987,1.1250757,1.78090703,1.1484499,0.7151611594052887,0.5014038914487855,37,38,42,43,0.13661640515664042,0.843729114560363,0.002738957222204853,0.016915523060791693
3987,3988,1.33488238,1.84744108,1.14608383,0.7776336704405336,0.5243661548295242,38,39,43,44,0.5860454230024035,0.0728284093842573,0.30341989523546237,0.03770627237787691
3988,3989,1.20258641,1.62810969,1.19560528,0.7382409235282645,0.44867039987633095,32,33,37,38,0.03380096681459829,0.6848134349167686,0.013235339072343562,0.2681502591962895
3989,3990,1.41444349,1.69970226,1.19717562,0.8013239662998042,0.47337846211580037,33,34,38,39,0.2961874472386076,0.07651408314018675,0.49851668756217565,0.12878178205902996
3990,3991,1.28046036,1.4736954,1.23877931,0.7614288468142777,0.39537886574110603,28,29,33,34,0.44345212753069685,0.021243752093818447,0.5108324852121924,0.024471635163292326
3991,3992,1.49234915,1.54848993,1.23777819,0.824521331627057,0.4211919899579326,28,29,33,34,0.0725163074292246,0.030795833159719288,0.6293983660625475,0.26728949334850866
3992,3993,1.3603034,1.31502187,1.26959777,0.7852030907872889,0.3406173806457069,23,24,28,29,0.19877879139188961,0.03257787956821377,0.6604088454589548,0.1082344835809418
3993,3994,1.57043731,1.39272654,1.26968122,0.8477730385666167,0.36743485378094193,28,29,33,34,0.5211715607168315,0.3347404863499812,0.08773628501670183,0.05635166791648549
3994,3995,1.44281375,1.1527344,1.29012036,0.8097715590119274,0.2846086508369289,18,19,23,24,0.011778099145211097,0.0037007891377843867,0.7491356648070792,0.23538544690992536
3995,3996,1.65064085,1.23267365,1.28899515,0.871654625834075,0.31219732329800276,23,24,28,29,0.32303887607068454,0.30619859775727704,0.19034262059301527,0.18041990557902315
3996,3997,1.85986614,1.31087339,1.28205121,0.9339540208694348,0.33918565523007793,23,24,28,29,0.06641605503538657,0.18498477174352215,0.19776786148687422,0.5508313117342171
3997,3998,1.7340591,1.07088757,1.28963614,0.8964934324138553,0.25636163344750884,18,19,23,24,0.17013876799828961,0.2407983637365864,0.24388750234628934,0.3451753659188347
3998,3999,1.93990803,1.15125251,1.28483295,0.9577874748676909,0.28409722024640743,18,19,23,24,0.0038225833353904433,0.018816333214905376,0.16502751719384598,0.8123335662558582
4000,4001,2.02214551,0.995896935,1.26838863,0.9822746927046575,0.23048082937863223,18,19,23,24,0.05482567924586703,0.7184427094532817,0.016075549935502954,0.21065606136534834
4037,4038,2.07602096,0.515251338,1.04574883,0.9983167684128941,0.06460018944905671,3,4,8,9,0.0006436499012576678,0.09495369781194839,0.006089276447166039,0.8983133758396279
4039,4040,1.89965522,0.413163751,1.03931892,0.94580170722233,0.029367672255257857,3,4,8,9,0.1276592199616891,0.4611933684647009,0.08913395114899075,0.32201346042461926
4151,4152,-1.20636463,2.07123613,1.0385896,0.020946219519009227,0.6016024102717463,40,41,45,46,0.5291749378393737,0.04839131835617734,0.38704018408458946,0.035393559719859566
4152,4153,-1.2052145,2.2902596,1.03201139,0.021288684826200388,0.6771918957262365,45,46,50,51,0.4750914575431624,0.04422200228952722,0.43975380315203605,0.040932737015274334
4153,4154,-1.05559421,2.08254814,1.1180768,0.0658399604010369,0.6055064166111402,40,41,45,46,0.385196628572777,0.13771353887125984,0.3514435298230754,0.12564630273288777
4154,4155,-1.06030512,2.30094481,1.10509396,0.06443722919647732,0.6808795805477451,45,46,50,51,0.3471403453420335,0.12054552698953477,0.39511073787205725,0.1372033897963745
4155,4156,-0.884400189,2.10103083,1.17274308,0.11681507885813483,0.6118851714857427,40,41,45,46,0.23099997562365002,0.20260762357595222,0.3017397089438107,0.2646526918565871
4156,4157,-0.89748174,2.31892157,1.15948677,0.11291988667833568,0.687083728617077,45,46,50,51,0.20881567156974112,0.17201212779118125,0.3395047817169161,0.27966741892216146
4157,4158,-0.699510992,2.12657619,1.19953179,0.1718681038613428,0.6207013984323331,40,41,45,46,0.09693993804733667,0.21324048389999986,0.21558764650729215,0.4742319315453713
4158,4159,-0.717625499,2.3432579,1.1833967,0.1664742873324529,0.6954826945477631,45,46,50,51,0.08794999493920246,0.17529228139211447,0.24615285573098597,0.49060486793769714
4159,4160,-0.505717516,2.15783525,1.19064605,0.22957248709627343,0.631489540274808,40,41,45,46,0.013003863512364596,0.14614257264032426,0.0687061881025417,0.7721473757447694
